# HD 209458, TESS 2-minute cadence, TESS Sector 56
# time is days from the first measurement, flux is normalised
time,flux
0.000000,1.0001887
0.001389,0.9997966
0.002778,0.9998406
0.004167,0.9999811
0.005556,0.9999786
0.006944,0.9997178
0.008333,1.0002465
0.009722,1.0003036
0.011111,1.0002028
0.012500,0.9998669
0.013889,0.9996614
0.015278,0.9998010
0.016667,1.0005286
0.018056,1.0001978
0.019444,1.0002340
0.020833,0.9998625
0.022222,0.9999397
0.023611,1.0000506
0.025000,1.0001746
0.026389,0.9999028
0.027778,1.0000564
0.029167,0.9999423
0.030556,0.9999978
0.031944,1.0003396
0.033333,1.0003195
0.034722,1.0003123
0.036111,1.0002247
0.037500,0.9998289
0.038889,0.9999180
0.040278,0.9996604
0.041667,1.0001301
0.043056,0.9999007
0.044444,0.9999702
0.045833,0.9999050
0.047222,1.0000849
0.048611,0.9995569
0.050000,0.9997225
0.051389,1.0001012
0.052778,1.0002241
0.054167,1.0003898
0.055556,1.0000552
0.056944,0.9999431
0.058333,1.0000789
0.059722,1.0004347
0.061111,1.0002597
0.062500,1.0003155
0.063889,1.0005555
0.065278,1.0002080
0.066667,1.0000603
0.068056,1.0001254
0.069444,1.0001861
0.070833,0.9998359
0.072222,0.9994961
0.073611,1.0002908
0.075000,0.9997742
0.076389,1.0001813
0.077778,0.9991157
0.079167,1.0005185
0.080556,0.9997550
0.081944,1.0000092
0.083333,0.9997518
0.084722,0.9999020
0.086111,1.0007174
0.087500,0.9999339
0.088889,1.0004551
0.090278,1.0000023
0.091667,1.0004840
0.093056,1.0005444
0.094444,1.0000601
0.095833,0.9998810
0.097222,1.0000475
0.098611,0.9997880
0.100000,1.0003730
0.101389,1.0003865
0.102778,0.9999608
0.104167,1.0004366
0.105556,1.0004740
0.106944,1.0001133
0.108333,1.0005093
0.109722,0.9997137
0.111111,0.9999192
0.112500,0.9997292
0.113889,1.0001315
0.115278,0.9996157
0.116667,0.9996810
0.118056,1.0007151
0.119444,0.9999135
0.120833,1.0002630
0.122222,0.9999745
0.123611,0.9997736
0.125000,1.0001969
0.126389,0.9997138
0.127778,1.0000606
0.129167,1.0002797
0.130556,1.0003753
0.131944,0.9998261
0.133333,1.0001180
0.134722,1.0003170
0.136111,0.9998210
0.137500,1.0004217
0.138889,1.0003147
0.140278,1.0002913
0.141667,1.0000037
0.143056,1.0000524
0.144444,0.9999889
0.145833,1.0004902
0.147222,0.9992760
0.148611,1.0003372
0.150000,0.9998100
0.151389,0.9999350
0.152778,0.9996936
0.154167,0.9999440
0.155556,1.0002154
0.156944,0.9993664
0.158333,0.9993008
0.159722,1.0004356
0.161111,0.9997055
0.162500,1.0001506
0.163889,0.9999882
0.165278,0.9996957
0.166667,0.9999468
0.168056,1.0003349
0.169444,0.9997276
0.170833,0.9995512
0.172222,1.0001274
0.173611,0.9997384
0.175000,1.0000224
0.176389,0.9995958
0.177778,0.9998583
0.179167,0.9998977
0.180556,1.0001252
0.181944,1.0010281
0.183333,0.9995241
0.184722,0.9997990
0.186111,0.9999707
0.187500,1.0007309
0.188889,1.0000200
0.190278,0.9999978
0.191667,1.0001751
0.193056,1.0000038
0.194444,1.0002934
0.195833,1.0003138
0.197222,0.9998643
0.198611,0.9998275
0.200000,0.9996384
0.201389,0.9999940
0.202778,0.9996700
0.204167,0.9997483
0.205556,1.0001473
0.206944,0.9999781
0.208333,0.9997752
0.209722,1.0000640
0.211111,1.0000603
0.212500,0.9998030
0.213889,0.9994948
0.215278,0.9998213
0.216667,1.0002596
0.218056,0.9998515
0.219444,1.0002748
0.220833,0.9997056
0.222222,1.0002814
0.223611,1.0001415
0.225000,1.0000620
0.226389,0.9998855
0.227778,0.9997846
0.229167,1.0000253
0.230556,1.0004471
0.231944,0.9998178
0.233333,0.9999778
0.234722,0.9998264
0.236111,1.0002120
0.237500,0.9998769
0.238889,1.0000435
0.240278,0.9996517
0.241667,1.0001054
0.243056,0.9998514
0.244444,0.9998143
0.245833,0.9996158
0.247222,0.9998104
0.248611,1.0002468
0.250000,0.9993361
0.251389,1.0001350
0.252778,0.9999419
0.254167,0.9996453
0.255556,1.0004204
0.256944,0.9996465
0.258333,1.0001677
0.259722,0.9999813
0.261111,0.9997061
0.262500,0.9991537
0.263889,0.9998776
0.265278,0.9998437
0.266667,0.9998042
0.268056,1.0002131
0.269444,1.0001854
0.270833,0.9996792
0.272222,0.9999792
0.273611,1.0000535
0.275000,0.9995162
0.276389,0.9998887
0.277778,1.0000689
0.279167,0.9997685
0.280556,0.9998111
0.281944,0.9997129
0.283333,0.9999485
0.284722,0.9993012
0.286111,0.9999567
0.287500,1.0001310
0.288889,0.9997546
0.290278,0.9995890
0.291667,0.9994907
0.293056,0.9999778
0.294444,1.0003983
0.295833,0.9998882
0.297222,0.9999631
0.298611,0.9996884
0.300000,0.9998983
0.301389,1.0001571
0.302778,1.0003783
0.304167,1.0003083
0.305556,1.0002386
0.306944,1.0004232
0.308333,1.0000382
0.309722,0.9997571
0.311111,0.9998582
0.312500,0.9993946
0.313889,0.9999537
0.315278,0.9996474
0.316667,0.9998465
