# TOI-270, TESS 2-minute cadence, TESS Sector 03
# time is days from the first measurement, flux is normalised
time,flux
0.000000,0.9979512
0.001389,1.0002965
0.002778,1.0009974
0.004167,1.0015889
0.005556,0.9988601
0.006945,0.9998970
0.008334,1.0009350
0.009722,0.9996507
0.011111,0.9974392
0.012500,1.0011877
0.013889,0.9983555
0.015278,1.0010960
0.016667,1.0006512
0.018056,0.9995977
0.019445,1.0005228
0.020834,1.0000482
0.022223,0.9994526
0.023612,0.9984169
0.025001,1.0003252
0.026389,0.9995879
0.027778,1.0021665
0.029167,0.9987263
0.030556,0.9992903
0.031945,1.0002380
0.033334,0.9983867
0.034723,0.9984136
0.036112,0.9980433
0.037501,1.0013047
0.038890,1.0009852
0.040279,1.0000064
0.041668,0.9986678
0.043056,1.0006963
0.044445,0.9990301
0.045834,0.9981732
0.047223,1.0007466
0.048612,1.0014543
0.050001,0.9995962
0.051390,0.9993098
0.052779,0.9994953
0.054168,0.9978620
0.055557,0.9986640
0.056946,0.9995205
0.058335,1.0008195
0.059723,0.9989573
0.061112,1.0001765
0.062501,1.0016256
0.063890,0.9997913
0.065279,0.9997403
0.066668,1.0003002
0.068057,0.9985305
0.069446,1.0002801
0.070835,1.0019715
0.072224,0.9979927
0.073613,0.9979925
0.075002,0.9995018
0.076391,1.0007941
0.077779,0.9999074
0.079168,1.0000239
0.080557,1.0022205
0.081946,0.9995152
0.083335,0.9996151
0.084724,1.0011688
0.086113,1.0000308
0.087502,0.9991437
0.088891,1.0020492
0.090280,0.9990735
0.091669,1.0008682
0.093058,0.9995179
0.094446,0.9994913
0.095835,1.0013398
0.097224,1.0029684
0.098613,1.0028389
0.100002,0.9996828
0.101391,0.9988426
0.102780,1.0004845
0.104169,0.9986241
0.105558,1.0011682
0.106947,1.0010260
0.108336,1.0003462
0.109725,0.9994548
0.111113,1.0012665
0.112502,0.9989986
0.113891,0.9998550
0.115280,1.0012179
0.116669,0.9992171
0.118058,0.9998503
0.119447,0.9992929
0.120836,0.9989917
0.122225,1.0010047
