# WASP-18, TESS 2-minute cadence, TESS Sector 02
# time is days from the first measurement, flux is normalised
time,flux
0.000000,0.9997734
0.001389,1.0005375
0.002778,0.9995923
0.005556,0.9996471
0.006945,1.0000695
0.008334,0.9993967
0.009723,0.9997343
0.011111,0.9999928
0.012500,0.9995415
0.013889,1.0001834
0.015278,0.9992944
0.016667,1.0000825
0.018056,0.9998749
0.019445,1.0002635
0.020834,0.9995054
0.022223,1.0001106
0.023612,1.0003866
0.025001,1.0006683
0.026390,1.0005610
0.027779,0.9998382
0.029168,0.9990537
0.030556,1.0012602
0.031945,1.0000750
0.033334,1.0002688
0.034723,1.0007075
0.036112,1.0002322
0.037501,1.0003525
0.038890,1.0008033
0.040279,0.9998441
0.041668,1.0001075
0.043057,0.9997428
0.044446,0.9998857
0.045835,0.9999521
0.047224,1.0006752
0.048613,1.0002254
0.050001,1.0009703
0.051390,1.0002407
0.052779,1.0006845
0.054168,0.9998174
0.055557,0.9995228
0.056946,1.0001105
0.058335,1.0002258
0.059724,1.0009440
0.061113,1.0000355
0.062502,0.9996872
0.063891,0.9997453
0.065280,1.0000064
0.066669,1.0000736
0.068058,0.9998780
0.069447,1.0010472
0.070835,1.0004509
0.072224,1.0002590
0.073613,1.0006418
0.075002,1.0004736
0.076391,1.0012559
0.077780,1.0004092
0.079169,1.0005197
0.080558,1.0000949
0.081947,1.0013090
0.083336,1.0000655
0.084725,0.9995766
0.086114,0.9999053
0.087503,0.9999370
0.088892,1.0003354
0.090280,0.9995779
0.091669,0.9994905
0.093058,1.0008965
0.094447,0.9996318
0.095836,1.0004158
0.097225,0.9999295
0.098614,0.9996869
0.100003,1.0007966
0.101392,1.0008609
0.102781,1.0006671
0.104170,1.0003487
0.105559,1.0003262
0.106948,0.9997134
0.108337,0.9999883
0.109725,0.9995222
0.111114,1.0002820
0.112503,1.0011370
0.113892,1.0004354
0.115281,1.0009149
0.116670,1.0004320
0.118059,0.9999666
0.119448,1.0007064
0.120837,1.0013306
0.122226,1.0013984
0.123615,1.0009909
0.125004,1.0014411
0.126393,1.0001432
0.127782,1.0001296
0.129171,1.0001222
0.130559,1.0000711
0.131948,0.9993309
